CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
WP12.5 lyftstroppar pa marken R1.40 plan 6,Safety,WP12.5 lyftstroppar pa marken R1.40 plan 6,Non-Process Safety
Rinnande vatten fran avklippta ledningar,Safety,Rinnande vatten fran avklippta ledningar,Non-Process Safety
Ich bin letzte Woche beim Einparken mit meinem privaten Auto in der Uniper Tiefgarage im Capricorn auf P1 leicht an einen Pfeiler gestossen. Hierbei wurde mein Auto hinten rechts unten an der Stossstange beschaedigt (Sachschaden am Auto). An dem Pfeiler war keine Beschaedigung sichtbar. Es gab auch keinen Personenschaden. Ist solch ein Schaden auf dem Weg zur Arbeit ueber den Arbeitgeber versichert?,Process Safety,Autounfall auf dem Weg zur Arbeit,Non-Process Safety
Gammalt spakblock,Safety,Gammalt spakblock,Non-Process Safety
WP4.1 KRA i behov av stadning B2,Safety,WP4.1 KRA i behov av stadning B2,Non-Process Safety
"In de laagspanningruimte van DFB2 liggen diverse items die daar niet horen, zoals tuinslangen / lege jerrycans / kabels. Zie bijlagen",Process Safety,Laagspanningruimte gebruikt als opslag?,Non-Process Safety
"Lagerung Druckgasflaschen:
Propangas in defekter Gitterbox, Abdeckkappen Propangasflaschen fehlen
Positiv: die gesichteten Druckgasflaschen waren durchgehen gegen Umfallen gesichert",Safety,"Begehung DWZ Aussenbereich
Propangas in defekter Gitterbox, Abdeckkappen Propangasflaschen fehlen",Non-Process Safety
Leere Kunststofftuete fuer Kunststoffketten in NS Trafo Raum,Process Safety,Zweckel - Leere Kunststofftuete fuer Kunststoffketten in NS Trafo Raum,Non-Process Safety
WP3 Camfil nara heta arbeten,Process Safety,WP3 Camfil nara heta arbeten,Non-Process Safety
Risiko Weniger: Die Druckhalteentleerungspumpe 2 ist aufgrund eines Wassereinbruchs im Anschlusskasten ausgefallen. Der Feuerloeschdruck ist zusammengebrochen und wurde durch das Zuschalten der E-Feuerloeschpumpe wieder aufgebaut. Es wurde eine Stoermeldung angelegt.,Safety,Risiko Weniger: Die Druckhalteentleerungspumpe 2 ist aufgrund eines Wassereinbruchs im Anschlusskasten ausgefallen. Der Feuerloeschdruck ist zusammengebrochen und wurde durch das Zuschalten der E-Feuerloeschpumpe wieder aufgebaut. Es wurde eine Stoermeldung angelegt.,Non-Process Safety
Gatehouse security reported that 2 of their CCTV cameras had some issues that limited their operation.,Asset and Reputation damage/loss,SECURITY OBSERVATION - 2 CCTV perimeter cameras tracking function slow to respond.,Non-Process Safety
Tillgang till behorighetskravande mapp,Asset and Reputation damage/loss,Tillgang till behorighetskravande mapp,Non-Process Safety
"Oskarshamn 2 - RIO - 125A kabel klippt i ena anden och handske i andra anden, saknar markning att den ar obrukbar",Safety,"Oskarshamn 2 - RIO - 125A kabel klippt i ena anden och handske i andra anden, saknar markning att den ar obrukbar",Non-Process Safety
WP14 Risker i samband med arbete i arbetskorg,Safety,WP14 Risker i samband med arbete i arbetskorg,Non-Process Safety
WP12 Snubbelrisk i sluss,Safety,WP12 Snubbelrisk i sluss,Non-Process Safety
Begehung Projekt OSL,Safety,Test,Non-Process Safety
"WP4.1 T9916 B1 Fallrisker maste losas innan man blockar bort komponenterna  
Racke ar byggt 4/12/2023",Safety,"WP4.1 T9916 B1 Fallrisker maste losas innan man blockar bort komponenterna  
Racke ar byggt 4/12/2023",Non-Process Safety
"HRSG 27m level electric hoist was moved to a location to allow lifting of dehumidifiers. During the process of this activity the electric winch wire rope made contact from above to HRSG BDS hole watcher on his right shoulder and both thighs at approx. 08:30. 
This was reported approx. 30-40mins after the incident to Uniper HSE. 
All works regarding this activity was immediately stopped and a Golden Hour undertaken. Investigation ongoing. Statements received from various working parties. 
No First Aid required.
No Injury reported.",Safety,Electric winch wire rope made contact with hole watcher,Non-Process Safety
Oskarshamn 1 - RIO - Arbetstalt saknar kontaktuppgifter,Asset and Reputation damage/loss,Oskarshamn 1 - RIO - Arbetstalt saknar kontaktuppgifter,Non-Process Safety
"Nach der Demontage des Trichters vom Rauchgaskanal ist das obere Gelaender mit einer Absturzsicherung zu versehen, da hier ein Zugang vom Kesselhaus moeglich waere.",Safety,Rueckbau Schornstein Block 1 + Rauchgaskanaele - Bereich E-Filter - Absturzsicherung,Non-Process Safety
Oversyn av utrymningsvagar.,Safety,Oversyn av utrymningsvagar.,Non-Process Safety
WP4.1 Genomforing i golvet mellan MAVA och rum under endast tackt med los stallning,Safety,WP4.1 Genomforing i golvet mellan MAVA och rum under endast tackt med los stallning,Non-Process Safety
Oskarshamn 3 - RA3-23 ERF - Personal utan skyddsglasogon pa kontrollerad sida,Safety,Oskarshamn 3 - RA3-23 ERF - Personal utan skyddsglasogon pa kontrollerad sida,Non-Process Safety
Oskarshamn 2 - RIO - Avsaknad av skylt vid avsparrning 4.80 Ost,Safety,Oskarshamn 2 - RIO - Avsaknad av skylt vid avsparrning 4.80 Ost,Non-Process Safety
WP12 Obesiktigad stropp,Safety,WP12 Obesiktigad stropp,Non-Process Safety
Bereich VE-Wasser Druckerhoehung: Durch das Ablassen im Gebaeude viel Standwasser und nasse Ecken (Rutschgefahr),Safety,Durch das Ablassen im Gebaeude viel Standwasser und nasse Ecken (Rutschgefahr),Non-Process Safety
"Ort: Amoniakentladung
Hinweis: An dem Rettungsring Standgehaeuse ist die Klappe aus den Scharnieren gerissen und liegt auf dem Boden!",Safety,An dem Rettungsring Standgehaeuse ist die Klappe aus den Scharnieren gerissen und liegt auf dem Boden,Non-Process Safety
"Bei den Tiefbauarbeiten im Rahmen der Errichtung der 220kV Kabeltrasse kam es im Bereich suedlich der Entkarbonisierungsanlage zur Beschaedigung mehrerer Erdkabel. Neben Steuer- und Fernmeldekabeln wurde auch ein Mittelspannungskabel beschaedigt. Die Beschaedigung wurde durch einen Bagger hervorgerufen. 

Die Baustelle liegt in der Verantwortung des Neubauprojekts. Durch den AvO wurde der zustaendige Fachbauleiter informiert, dieser informierte direkt den Ansprechpartner des Kraftwerks. Dieser sichtete gemeinsam mit dem zustaendigen AnlV E sowie der stellv. VEFK die Schadensstelle. 

Die Schadensstelle wurde (im Bereich der beschaedigten Isolierung) auf Spannungsfreiheit geprueft. Bei der anschliessenden Sichtung konnte zunaechst festgestellt werden, dass bei saemtlichen beschaedigten Kabel ausschliesslich die aeussere Kabelisolierung sowie der umhuellende Schirm beschaedigt wurde. Eine Beschaedigung aktiver Leiter konnte augenscheinlich ausgeschlossen werden. 

Da mit den am Standort verfuegbaren Mitteln keine Pruefung der Zuordnung des Mittelspannungs-Kabels moeglich ist, wurde die Schadensstelle zunaechst abgesperrt. Am Folgetag erfolgte die Pruefung der Zuordnung sowie die anschliessende Festlegung und Durchfuehrung der Reparaturmassnahme. Es handelt sich bei dem Kabel um die Einspeisung 2 der Klaeranlage (10BD09 -> 64CT52)

Es kam bei dem Vorfall weder zu einer direkten Gefaehrdung von Personen noch zu Einschraenkungen im Anlagenbetrieb.

Die Freigaben fuer die Arbeit lagen umfassend vor. An der Schadensstelle weicht der Kabel- und Rohrleitungsplan von der tatsaechlichen Verlegung der Leitungen ab, sodass das Vorhandensein der Kabel im Vorfeld nicht zu erkennen gewesen ist.",Process Safety,Kabelbeschaedigung bei Baggerarbeiten,Non-Process Safety
der Schaltschrank in der UL im 4. Stock (Revision der Klimaanlage) ist nicht ordnungsgemaess gegen Wiedereinschalten gesichert.,Safety,Elektrische Sicherheit nicht optimal,Non-Process Safety
Oskarshamn 1 - RIO - Forhojd stralning pa allmanna gangvagar pa okontrollerad sida,Safety,Oskarshamn 1 - RIO - Forhojd stralning pa allmanna gangvagar pa okontrollerad sida,Non-Process Safety
Flat bar fell from Level 13 to Level 10 (6m),Safety,U71 Dropped Object (flat bar),Non-Process Safety
Oskarshamn 3 - Behov av oversyn av planering for arbeten i reaktorhall O3 OSA,Safety,Oskarshamn 3 - Behov av oversyn av planering for arbeten i reaktorhall O3 OSA,Non-Process Safety
2 Rettungsring OW neu befestigen und Beschriftung erneuern,Safety,KW 2 Rettungsring OW neu befestigen und Beschriftung erneuern,Non-Process Safety
"Ein Arbeiter stand auf einem Fahrgeruest und befestigte eine Schalung am Kranhaken. Waehrend des Hebevorgangs ist die Schalung am unteren Teil des Geruests haengen geblieben. Dadurch kippte das Geruest teilweise um, wurde aber von einer dahinterstehenden Saeule gluecklicherweise aufgefangen. Der Arbeiter sprang aus ca. 2m Hoehe dem Geruest und blieb unverletzt.
A worker was standing on a mobile scaffold and was attaching a formwork to the crane hook. During the lifting process, the formwork got caught on the lower part of the scaffolding. This caused the scaffold to partially tip over, but it was fortunately caught by a column behind it. The worker jumped from the scaffold from a height of about 2m and remained uninjured.",Process Safety,Umkippen eines Rollgeruestes / Tipping over of a rolling scaffold,Non-Process Safety
WP4.2 Forgreningsdosa i sandtank,Safety,WP4.2 Forgreningsdosa i sandtank,Non-Process Safety
Farlig kemikalie star ute i anlaggningen dar den inte bor forvaras. Inte ratt grovrent-produkt enligt iChemistry.,Safety,Farlig kemikalie star ute i anlaggningen dar den inte bor forvaras. Inte ratt grovrent-produkt enligt iChemistry.,Non-Process Safety
WP6 lightning not sufficient,Safety,WP6 lightning not sufficient,Non-Process Safety
WP7 brister i elsakerhet,Safety,WP7 brister i elsakerhet,Non-Process Safety
"Am 25.08.2022 fand der erste Betrieb des Block 1 nach der Revision statt. Um 06.11 war ""Feuer ein"", um 08:25 war Synchronisation. Um 09:17 wurde Dampfaustritt gemeldet. Als Ursache wurden offene Armaturen an den HD Vorwaermern 1/1 und 1/2  erkannt.",Process Safety,Dampfleckage HD Vorwaermer Block 1,Non-Process Safety
Alte VE – Aussenbereich: der dort aufgestellte Notfallschrank mit Schutzausruestung ist in 12/2023 zur Pruefung (und eventuell Auffuellung) faellig – Nur HINWEIS,Safety,faellige Pruefung Notfallschrank mit Schutzausruestung,Non-Process Safety
1a hjalpentavla Vandrarhem FP2,Safety,1a hjalpentavla Vandrarhem FP2,Non-Process Safety
Oskarshamn 3 - Personrisk vid kvavgasdranering fran system 354,Safety,Oskarshamn 3 - Personrisk vid kvavgasdranering fran system 354,Non-Process Safety
"Loch im Boden vor einem Materialschrank im alten Kompressor Haus. Umknick Gefahr. 
Siehe DGUV Regel 100-001, „Grundsaetze der Praevention“",Safety,Loch im Boden vor einem Materialschrank im alten Kompressor Haus,Non-Process Safety
04CRFPP010 Unit 4 Cooling water Pump 10 discharge spool was replaced during station outage. Upon starting pump leakage was observed from the spool between the pump and the discharge valve.,Process Safety,Cooling Water Pump Discharge Spool leakage,Non-Process Safety
Oskarshamn 3 - Kontaminerade golv i reaktorbyggnaden.,Safety,Oskarshamn 3 - Kontaminerade golv i reaktorbyggnaden.,Non-Process Safety
Man hole cover has been lifted creating a floor opening to allow for a sump pump outlet pipe to be fitted. The man hole has been replaced but not in its designed position creating a floor opening. No floor opening certificate has been raised and the opening was inadequately barriered.  I,Safety,Man holder cover has been lifted and left across the opening at the CW system valve pits opposite the WTP,Non-Process Safety
WP12.3 risk for fallande foremal R2.08,Safety,WP12.3 risk for fallande foremal R2.08,Non-Process Safety
"@ 01:47 3 off HSU pumps - Circ 1, Circ 4, & Supply pump 4 tripped, they all are on the same switchboard 2-C-XB.  These pumps tripping caused a duty changeover the standby circ & supply pumps cut in & HSUs did not cause a trip.
There seems to be no reason why 3 off pumps would trip at the same time & Circ pump 4 was not even in service. 
This incident is very similar to another back in November 26th Synergi 40066.
Please investigate.",Process Safety,PSO - Unit 2  HSU circulation pumps & supply pumps tripped causing a duty changeover,Non-Process Safety
"Maschinenhaus Ebene 9,0m: Auf einer Seite liegt auf der
Gitterrostebene eine Spanplatte und auf der gegenueberliegenden Seite
ein Stueck Pappe auf den Rohren",Safety,herumliegende Spanplatte und Pappe auf den Rohren,Non-Process Safety
WP4.1 lampa trasig 2T0309,Safety,WP4.1 lampa trasig 2T0309,Non-Process Safety
WP12 Kabel hantering,Safety,WP12 Kabel hantering,Non-Process Safety
Door een ventilatietrip in accuruimtes in MPP3 is H2 gemeten tot waardes van 835 ppm,Process Safety,H2 in accuruimte,Non-Process Safety
vattenansamling vid reaktorschaktet port 10,Safety,vattenansamling vid reaktorschaktet port 10,Non-Process Safety
Skadat hissjalusi,Safety,Skadat hissjalusi,Non-Process Safety
"Oskarshamn 1 - RIO - Kedja till lyftutrustning parkerad i oppen 311 ventil, risk for kontaminationsspridning samt nedsmutsning av material",Safety,"Oskarshamn 1 - RIO - Kedja till lyftutrustning parkerad i oppen 311 ventil, risk for kontaminationsspridning samt nedsmutsning av material",Non-Process Safety
Die Tore zum Hafen waren bei beiden Zufahrten offen.,Process Safety,"Begehung Hafenbereich
Die Tore zum Hafen waren bei beiden Zufahrten offen",Non-Process Safety
Zwischen 0:15 und ca. 3:00 stark erhoehte VL-Temperatur ca. 140 °C bis knapp unter Temperatur-Abschaltung. In der Vergangenheit wurde eigentlich eine Absenkung der ersten Temp-Begrenzung abgestimmt,Process Safety,Erhoehte VL-Temperatur STEAG-Lieferung,Non-Process Safety
Halkincident,Safety,Halkincident,Non-Process Safety
"CCGT - B2O - Los plat, risk for skarskada",Safety,"CCGT - B2O - Los plat, risk for skarskada",Process Safety
"Im Sozialtrakt LE / LM ist nur ein zulaessiger Fluchtweg vorhanden, der fuehrt ueber die Treppe nach oben.",Process Safety,Fluchtweg Sozialtrakt,Non-Process Safety
Oskarshamn 0 - Natverksskap ej anslutet mot FYS-central.,Asset and Reputation damage/loss,Oskarshamn 0 - Natverksskap ej anslutet mot FYS-central.,Non-Process Safety
"Beim Aufstieg T-Dampf Einspritzkuehler 1/1 fehlt ein Teil vom Gelaender
Zum Auffinden der OErtlichkeit ggf. mit H. Singer oder H. Sim in Verbindung setzen",Safety,Gelaender defekt,Non-Process Safety
Risiko Weniger: Zur Belueftung der VE 1 / 2 werden die Tueren geoeffnet. Zum Aufhalten werden verschiedene Gegenstaende genutzt. Es wurde eine Kette angebracht. durch P/CH,Safety,Risiko Weniger: Zur Belueftung der VE 1 / 2 werden die Tueren geoeffnet. Zum Aufhalten werden verschiedene Gegenstaende genutzt. Es wurde eine Kette angebracht. durch P/CH,Non-Process Safety
Risiko Weniger: Kamin 2 der Durchgang an der Aussenleiter ist nicht abgesperrt. wird verschlossen durch I/AV bis 31.12.,Safety,Risiko Weniger: Kamin 2 der Durchgang an der Aussenleiter ist nicht abgesperrt. wird verschlossen durch I/AV bis 31.12.,Non-Process Safety
Oskarshamn 3 - RA3-23 ERF - Felaktigt beteende vid arbete innanfor skograns pa kontrollerat omrade,Safety,Oskarshamn 3 - RA3-23 ERF - Felaktigt beteende vid arbete innanfor skograns pa kontrollerat omrade,Non-Process Safety
"Maschinenhaus Bl.1, 0m, Ammoniak Einspeisung: Das Werkzeug (Gabelschluessel) zum Flaschenwechsel liegt unsicher auf dem Haltebuegel der Druckgasflasche",Safety,Werkzeug liegt unsicher auf dem Haltebuegel einer Ammoniak Druckgasflasche,Non-Process Safety
Allmant fel Till,Process Safety,Allmant fel Till,Non-Process Safety
Defektes Tuerschloss,Asset and Reputation damage/loss,KGI-BG2-Beobachtung,Non-Process Safety
"Im KH, Bl. 1 auf 36m, 30m und 17m befinden sich ungepruefte Leitern",Safety,Ungepruefte Leitern,Non-Process Safety
WPx snubbelrisker och skoskydd,Safety,WPx snubbelrisker och skoskydd,Non-Process Safety
"Naar aanleiding van Walk en Talk welke is gedaan met de firma HSOS, bleek dat niet bekend is wat te doen als het ontruimingsalarm afgaat. De ene medewerker kon niet vertellen waar de ontruimingsplaatsen zijn en gaf aan ik ben bij mijn collega en hij weet dit. De andere medewerker gaf aan dat hij naar de werkplaatst gaat.",Safety,Naar aanleiding van Walk en Talk: Onbekend wat te doen bij een ontruiming.,Non-Process Safety
"Mitarbeiter war auf dem Verkehrsweg zu seinem Arbeitsplatz. Beim passieren einer Tuer ist der Mitarrbeiter mit dem Fuss in einer Bandschlinge haengen gebieben und gestopert. Der MA konnte sich am gegenueberliegenden Gelaender abfangen. Aufgrund von Arbeiten war ein Schlauch durch die Tuer gefuehrt, diese wurde mittels einer Bandschlinge gesichert. MA konnte seinen Dienst vortsetzen.",Safety,Stolpern eines Mitarbeiters auf Verkehrsweg durch Bandschlinge,Non-Process Safety
